Path,Class,Spectral Centroid Overall Average 1,Spectral Centroid Overall Standard Deviation 1,Spectral Rolloff Point Overall Average 1,Spectral Rolloff Point Overall Standard Deviation 1,Spectral Flux Overall Average 1,Spectral Flux Overall Standard Deviation 1,Compactness Overall Average 1,Compactness Overall Standard Deviation 1,Spectral Variability Overall Average 1,Spectral Variability Overall Standard Deviation 1,Root Mean Square Overall Average 1,Root Mean Square Overall Standard Deviation 1,Fraction Of Low Energy Windows Overall Average 1,Fraction Of Low Energy Windows Overall Standard Deviation 1,Zero Crossings Overall Average 1,Zero Crossings Overall Standard Deviation 1,Strongest Beat Overall Average 1,Strongest Beat Overall Standard Deviation 1,Beat Sum Overall Average 1,Beat Sum Overall Standard Deviation 1,Strength Of Strongest Beat Overall Average 1,Strength Of Strongest Beat Overall Standard Deviation 1,MFCC Overall Average 1,MFCC Overall Average 2,MFCC Overall Average 3,MFCC Overall Average 4,MFCC Overall Average 5,MFCC Overall Average 6,MFCC Overall Average 7,MFCC Overall Average 8,MFCC Overall Average 9,MFCC Overall Average 10,MFCC Overall Average 11,MFCC Overall Average 12,MFCC Overall Average 13,MFCC Overall Standard Deviation 1,MFCC Overall Standard Deviation 2,MFCC Overall Standard Deviation 3,MFCC Overall Standard Deviation 4,MFCC Overall Standard Deviation 5,MFCC Overall Standard Deviation 6,MFCC Overall Standard Deviation 7,MFCC Overall Standard Deviation 8,MFCC Overall Standard Deviation 9,MFCC Overall Standard Deviation 10,MFCC Overall Standard Deviation 11,MFCC Overall Standard Deviation 12,MFCC Overall Standard Deviation 13,LPC Overall Average 1,LPC Overall Average 2,LPC Overall Average 3,LPC Overall Average 4,LPC Overall Average 5,LPC Overall Average 6,LPC Overall Average 7,LPC Overall Average 8,LPC Overall Average 9,LPC Overall Average 10,LPC Overall Standard Deviation 1,LPC Overall Standard Deviation 2,LPC Overall Standard Deviation 3,LPC Overall Standard Deviation 4,LPC Overall Standard Deviation 5,LPC Overall Standard Deviation 6,LPC Overall Standard Deviation 7,LPC Overall Standard Deviation 8,LPC Overall Standard Deviation 9,LPC Overall Standard Deviation 10,Method of Moments Overall Average 1,Method of Moments Overall Average 2,Method of Moments Overall Average 3,Method of Moments Overall Average 4,Method of Moments Overall Average 5,Method of Moments Overall Standard Deviation 1,Method of Moments Overall Standard Deviation 2,Method of Moments Overall Standard Deviation 3,Method of Moments Overall Standard Deviation 4,Method of Moments Overall Standard Deviation 5
black_sabath/01 - BACKSTREET KIDS..flac.mp3.wav,black_sabath,5E+01,2.79E+01,3.97E-01,1.89E-01,3.69E-03,4.69E-03,1578,1.55E+02,3.59E-03,1.85E-03,1.65E-01,7.33E-02,5.93E-01,5.28E-02,1.26E+02,4.69E+01,1.68E+02,25,7.09E+02,1.06E+02,9.47E-03,2.14E-04,-9.49E+01,-8.17E-01,6.56E+00,8.28E-01,4.31E-01,-2.01E-01,8.02E-01,-1.41E+00,-2.31E-01,-9.95E-01,-2.4E-01,-9.34E-01,-6.04E-01,8.52E+00,3.07E+00,2.61E+00,1.99E+00,1.93E+00,1.82E+00,1.65E+00,1.66E+00,1.63E+00,1.73E+00,1.57E+00,1.55E+00,1.43E+00,-6.62E-01,1.01E-01,-4.41E-01,-4.37E-02,-2.19E-02,-3.19E-02,-5.6E-02,1.89E-02,5.98E-03,0,2.2E-01,2.13E-01,1.36E-01,1.65E-01,1.26E-01,1.2E-01,1.05E-01,1.06E-01,1.48E-01,0,6.48E-01,3.82E-01,9.71E+01,24630,6265000,2.78E-01,3.16E-01,8.02E+01,20200,5120000
black_sabath/01 - Black Sabbath.flac.mp3.wav,black_sabath,1.58E+01,1.5E+01,1.07E-01,1.53E-01,1.16E-03,1.71E-03,1625,169,3.6E-03,1.5E-03,1.46E-01,5.82E-02,5.34E-01,6.98E-02,4.86E+01,3.61E+01,2.21E+02,1.63E+00,650,2.05E+02,9.57E-03,1.66E-03,-110,7.36E+00,4.38E+00,7.51E-01,2.4E-01,1.09E+00,1.49E+00,4.85E-01,4.42E-01,-1.69E-01,5.46E-01,-5.26E-01,-5.9E-01,19,6.32E+00,2.66E+00,2.14E+00,2.15E+00,1.77E+00,1.76E+00,1.63E+00,1.61E+00,1.41E+00,1.49E+00,1.37E+00,1.22E+00,-9.18E-01,1.05E-01,-6.24E-02,-2.6E-03,3.2E-02,2.3E-02,1.52E-02,4.8E-02,3.46E-02,0,1.23E-01,3.69E-01,2.2E-01,1.6E-01,1.36E-01,1.08E-01,9.98E-02,8.75E-02,8.46E-02,0,3.82E-01,2.39E-01,6.09E+01,15470,3937000,1.89E-01,2.67E-01,6.78E+01,17120,4344000
black_sabath/01 - Hand Of Doom.flac.mp3.wav,black_sabath,3.05E+01,2.09E+01,2.47E-01,1.98E-01,3.15E-03,2.89E-03,1604,1.52E+02,5.15E-03,2.09E-03,2.18E-01,7.72E-02,5.45E-01,5.7E-02,8.43E+01,4.58E+01,220,4.5E+00,1265,4.78E+02,9.47E-03,4.32E-04,-9.06E+01,7.98E-01,6.83E+00,-4.1E-01,3.84E-01,2.18E+00,1.14E-01,-4.18E-02,-1.22E-01,-1.21E-01,2.57E-01,-1.71E-01,-4.3E-01,1.19E+01,3.64E+00,3.59E+00,2.47E+00,2.44E+00,2.23E+00,2.2E+00,1.81E+00,1.75E+00,1.92E+00,1.71E+00,1.56E+00,1.38E+00,-8.23E-01,1.71E-01,-4.05E-01,-3.78E-02,-3.53E-02,-5.78E-03,5.46E-02,5.39E-02,6.97E-02,0,1.58E-01,2.33E-01,1.65E-01,1.84E-01,1.52E-01,1.43E-01,1.2E-01,1.33E-01,1.19E-01,0,7.17E-01,2.78E-01,7.06E+01,17890,4550000,2.6E-01,3.52E-01,8.88E+01,22130,5582000
black_sabath/01 - Hole In The Sky.flac.mp3.wav,black_sabath,3.36E+01,1.16E+01,2.36E-01,8.45E-02,3.94E-03,3.38E-03,1580,1.36E+02,4.57E-03,1.46E-03,2.02E-01,5.19E-02,5.4E-01,6.96E-02,8.68E+01,2.35E+01,2.21E+02,3.24E-12,1081,1.72E+02,9.14E-03,7.38E-05,-8.35E+01,-1.34E+00,-1.24E+00,1.36E+00,5.17E-01,2.5E+00,1.07E+00,-8.48E-01,1.1E-01,2.84E-01,9.08E-01,-9.96E-01,-5.17E-01,4.86E+00,2.57E+00,2.26E+00,1.7E+00,2.05E+00,1.77E+00,1.75E+00,1.69E+00,1.63E+00,1.58E+00,1.52E+00,1.57E+00,1.34E+00,-8.46E-01,4.19E-01,-1.24E-01,-5.09E-02,6.4E-03,-4.98E-02,-1.7E-02,3.87E-02,4.7E-03,0,7.47E-02,1.97E-01,1.64E-01,1.28E-01,9.73E-02,9.32E-02,9.61E-02,7.94E-02,8.38E-02,0,7.53E-01,2.97E-01,7.55E+01,19180,4883000,1.63E-01,2.24E-01,5.69E+01,14380,3652000
black_sabath/01 - Never Say Die.flac.mp3.wav,black_sabath,2.95E+01,1.14E+01,2.27E-01,1.04E-01,2.84E-03,2.26E-03,1590,1.36E+02,4.57E-03,1.08E-03,2E-01,3.74E-02,5.16E-01,4.26E-02,8.27E+01,2.44E+01,2.2E+02,2.78E+00,1062,1.02E+02,9.08E-03,6.91E-05,-8.68E+01,-1.33E+00,1.55E+00,1.92E+00,9.26E-01,6.91E-02,8.11E-01,-1.96E-01,1.04E-01,-8.3E-01,7.59E-01,-2.11E-01,-5.39E-01,5.74E+00,2.62E+00,2.11E+00,1.85E+00,2.1E+00,1.84E+00,1.6E+00,1.62E+00,1.63E+00,1.69E+00,1.6E+00,1.58E+00,1.45E+00,-8.46E-01,2.02E-01,-1.96E-01,-1.92E-02,-1.73E-03,-1.48E-01,-8.85E-02,-1.4E-02,-1.08E-02,0,7E-02,1.72E-01,1.53E-01,1.27E-01,9.82E-02,1.08E-01,8.31E-02,9.67E-02,7.91E-02,0,7.29E-01,3.12E-01,7.94E+01,20160,5132000,1.51E-01,2.46E-01,6.23E+01,15750,4000000
black_sabath/01 - Sabbath Bloody Sabbath.flac.mp3.wav,black_sabath,2.3E+01,1.38E+01,1.5E-01,1.08E-01,1.99E-03,2.11E-03,1615,1.57E+02,3.69E-03,1.32E-03,1.54E-01,4.96E-02,5.66E-01,4.67E-02,6.37E+01,2.99E+01,1.87E+02,1.5E+01,609,1.51E+02,9.16E-03,1.38E-04,-9.72E+01,4.79E+00,-3.71E-02,2.19E-01,1.95E+00,1.28E+00,-9.83E-01,-2.65E-02,-5.51E-01,-1.96E+00,-1.07E-01,-7.74E-02,-1.71E-01,8.95E+00,4.24E+00,2.93E+00,2.08E+00,2.27E+00,1.79E+00,1.75E+00,1.63E+00,1.75E+00,1.55E+00,1.68E+00,1.54E+00,1.63E+00,-9E-01,2.4E-01,2.37E-02,6.69E-02,-2.1E-04,-3.64E-02,-1.51E-02,-3.95E-02,-4.41E-02,0,8.82E-02,2.2E-01,1.55E-01,1.45E-01,1.25E-01,1.25E-01,1.27E-01,1.27E-01,1.02E-01,0,4.82E-01,3.04E-01,7.73E+01,19620,4992000,1.63E-01,2.86E-01,7.25E+01,18270,4633000
black_sabath/01 - Sweet Leaf.flac.mp3.wav,black_sabath,1.59E+01,1E+01,9.36E-02,1.14E-01,2.42E-03,3.97E-03,1550,165,4.27E-03,1.51E-03,1.73E-01,5.12E-02,5.58E-01,4.46E-02,5.02E+01,2.74E+01,2.01E+02,6.03E+00,7.9E+02,4.32E+01,9.2E-03,7.95E-05,-1.03E+02,5.06E+00,9.37E+00,-6.93E-01,5.17E-01,2.81E+00,-7.03E-01,1.13E+00,1.69E-01,1.99E-02,1.37E-01,1.85E-01,1.65E-01,8.81E+00,2.7E+00,2.72E+00,2.18E+00,1.94E+00,1.8E+00,1.77E+00,1.66E+00,1.58E+00,1.53E+00,1.44E+00,1.48E+00,1.27E+00,-9.23E-01,3.36E-02,-2.76E-01,-6.76E-02,8.65E-03,8.34E-02,1.55E-01,1.55E-01,5.93E-02,0,6.56E-02,2.75E-01,1.68E-01,1.48E-01,1.3E-01,1.49E-01,1.29E-01,1.06E-01,1.24E-01,0,4.55E-01,3.08E-01,7.83E+01,19870,5053000,1.59E-01,3.16E-01,8.03E+01,20260,5140000
black_sabath/01 - Tomorrows Dream.flac.mp3.wav,black_sabath,2.73E+01,1.08E+01,2.09E-01,1.08E-01,4.66E-03,3.25E-03,1569,1.41E+02,5.95E-03,1.44E-03,2.59E-01,5.02E-02,5.37E-01,4.36E-02,7.59E+01,2.32E+01,2.21E+02,3.24E-12,1761,2.34E+02,9.13E-03,7.61E-05,-7.74E+01,1.09E+00,2.26E+00,-6.89E-01,7.87E-01,1.41E+00,3.32E-01,7.7E-02,-2.07E+00,-6.69E-01,6.06E-01,9.13E-01,-6.47E-02,4.37E+00,2.73E+00,2.21E+00,2.06E+00,1.8E+00,1.69E+00,1.72E+00,1.57E+00,1.55E+00,1.47E+00,1.4E+00,1.32E+00,1.23E+00,-8.74E-01,3.72E-01,-3.89E-01,6.36E-02,3.35E-02,9E-02,-7.82E-03,3.31E-02,-3.46E-02,0,6.51E-02,1.44E-01,1.41E-01,1.48E-01,1.39E-01,1.11E-01,8.13E-02,8.23E-02,8.31E-02,0,9.22E-01,1.59E-01,4.04E+01,10290,2620000,1.85E-01,1.58E-01,4.02E+01,10180,2587000
black_sabath/01 - War Pigs.flac.mp3.wav,black_sabath,3E+01,2.17E+01,2.31E-01,1.96E-01,2.04E-03,2.89E-03,1574,149,4.28E-03,1.9E-03,1.84E-01,6.83E-02,5.82E-01,6.48E-02,8.46E+01,4.24E+01,2.2E+02,2.85E+00,9.91E+02,2.96E+02,9.54E-03,8.64E-04,-9.41E+01,-8.09E-01,5.02E+00,3.18E+00,1.48E+00,2.63E+00,5.15E-01,3.82E-01,-1.02E-02,-1.14E+00,-2.17E-01,-5.79E-01,-1.27E+00,9.09E+00,3.82E+00,4.26E+00,2.13E+00,1.87E+00,1.68E+00,1.6E+00,1.55E+00,1.53E+00,1.46E+00,1.36E+00,1.29E+00,1.35E+00,-8.24E-01,1.99E-02,-1.8E-01,-1.06E-01,-1.23E-01,-5.04E-02,1.56E-02,6.52E-02,5.37E-02,0,1.58E-01,2.19E-01,1.56E-01,1.09E-01,1.18E-01,1.02E-01,9.95E-02,7.81E-02,7.57E-02,0,6.15E-01,4.66E-01,1.19E+02,30040,7639000,1.95E-01,3.56E-01,9.02E+01,22720,5758000
black_sabath/01 - Wheels Of Confusion.flac.mp3.wav,black_sabath,24,8.37E+00,1.94E-01,7.45E-02,1.81E-03,1.58E-03,1601,1.59E+02,3.73E-03,1.02E-03,1.58E-01,3.89E-02,5.23E-01,5.83E-02,6.66E+01,1.79E+01,2.19E+02,8.94E+00,676,5.68E+01,9.13E-03,6.6E-05,-9.16E+01,2.72E+00,-5.56E-01,2.5E+00,-3.26E+00,1.26E+00,1.95E+00,-1.15E+00,4.48E-01,-1.26E+00,7.59E-01,5.91E-01,-8.31E-01,8.7E+00,2.58E+00,2.1E+00,1.74E+00,2.13E+00,1.73E+00,1.77E+00,1.44E+00,1.51E+00,1.44E+00,1.39E+00,1.35E+00,1.31E+00,-9.03E-01,4.66E-01,-1.83E-01,-1.75E-01,-9.66E-02,-2.23E-02,1.08E-01,7.32E-02,7.29E-02,0,4.42E-02,2.18E-01,2.64E-01,1.53E-01,1.04E-01,1.09E-01,9.56E-02,7.77E-02,8.13E-02,0,5.34E-01,2.76E-01,7.02E+01,17820,4536000,1.44E-01,2.66E-01,6.76E+01,17080,4338000
